name,abv,ibu,type,country
"Zlatopramen Světlé Výčepní",4.1,10,pale_lager,"Czech Republic"
"Zlatopramen 11°",4.7,11,pale_lager,"Czech Republic"
"Bernard Sváteční Ležák",5.0,12,pale_lager,"Czech Republic"
"Bernard Jantarový Ležák [Amber Lager]",4.7,NULLamber_lager,"Czech Republic"
"Bernard Černý Ležák [Dark Lager]",5.1,NULLdark_lager,"Czech Republic"
"Bernard Světlý Výčepní",3.8,10,pale_lager,"Czech Republic"
"Bernard Свětlý Ležák",4.5,11,pale_lager,"Czech Republic"
"Bernard Свětlý Ležак",4.7,12,pale_lager,"Czech Republic"
"Bernard Speciální Ležák 14% OX",5.8,14,pale_lager,"Czech Republic"
"Chodovar Zlatý Ležák",4.5,11,pale_lager,,"Czech Republic"
"Chodovar Pašerák Světlé",4,NULL,"",,"Czech Republic"
"Chodovar Prezident Premium",5,12,pale_lager,,"Czech Republic"
"Chodovar Zámecký Ležák Special",5.1,13,pale_lager,,"Czech Republic"
"Chodovar Černá Desítka [Dark Lager]",4.2,NULL,dark_lager,,"Czech Republic"
"Guinness|Guinness Draught",4.2,NULL,irish_dry_stout|dry_stout|stout,Ireland
"Guinness Foreign Extra",7.5,NULL,stout,Ireland
"Kilkenny",4.3,NULL,irish_red_ale|red_ale|ale,Ireland
"Smithwick's",4.5,NULL,irish_red_ale|red_ale|ale,Ireland
"Murphy's Irish Red|Murphy's Red",5.2,NULL,irish_red_ale|red_ale|ale,Ireland
"Murphy's Irish Stout",4.3,NULL,irish_dry_stout|dry_stout|stout,Ireland
"O'Hara's Irish Red",4.3,NULL,red_ale,Ireland
"O'Hara's Irish Stout",4.3,NULL,stout,Ireland
"Galway Hooker Irish Pale Ale",4.4,NULL,ale,Ireland
"Porterhouse Oyster Stout",4.8,NULL,stout,Ireland
"Wrasslers XXXX Stout",5,NULL,stout,Ireland
"Paulaner Hefe-Weißbier Naturtrüb",5.5,12.5,weisse,Germany
"Vormann Pils",5.0,11.3,pils,Germany
"Alt aus Dahl",5.0,11.6,alt,Germany
"Vormann Malz",1.5,11.5,malt,Germany
